cod_local;s_nombre_sala.x2018;s_nombre_sala.y2019
325;UNIM - NUNOA, IRARRAZAVAL 4354;UNIM - NUNOA, IRARRAZAVAL 4354
648;OKM - PROVIDENCIA, SUECIA 361;OKM - PROVIDENCIA, SUECIA 361
571;OKM - LA FLORIDA, MALL PLAZA VESPUCIO;NA
701;OKM - NUNOA, IRARRAZAVAL 4949;OKM - NUNOA, IRARRAZAVAL 4949
988;OKM - VITACURA, VITACURA 3595;OKM - VITACURA, VITACURA 3595
568;OKM - LO BARNECHEA, STRIP CENTER EL RODEO;OKM - LO BARNECHEA, STRIP CENTER EL RODEO
487;OKM - VITACURA, VITACURA 3303;OKM - VITACURA, VITACURA 3303
494;OKM - NUNOA, IRARRAZAVAL 4123;OKM - NUNOA, IRARRAZAVAL 4123
565;OKM - MACUL, MACUL 3440;OKM - MACUL, MACUL 3440
635;OKM - HUECHURABA, SANTA CLARA;OKM - HUECHURABA, SANTA CLARA
612;OKM - PROVIDENCIA, PROVIDENCIA 753;OKM - PROVIDENCIA, PROVIDENCIA 753
620;OKM - PROVIDENCIA, A. VARAS;OKM - PROVIDENCIA, A. VARAS
567;OKM - LAS CONDES, LAS CONDES 14151;OKM - LAS CONDES, LAS CONDES 14151
609;OKM - PROVIDENCIA, EL BOSQUE 422;OKM - PROVIDENCIA, EL BOSQUE 422
496;OKM - LAS CONDES, APOQUINDO 4671;OKM - LAS CONDES, APOQUINDO 4671
497;OKM - LAS CONDES, EL BOSQUE NORTE;OKM - LAS CONDES, EL BOSQUE NORTE
495;OKM - LAS CONDES, VESPUCIO SUR 1463;OKM - LAS CONDES, VESPUCIO SUR 1463
570;OKM - LO BARNECHEA, EL RODEO 13442;OKM - LO BARNECHEA, EL RODEO 13442
442;UNIM - COYHAIQUE, LAUTARO;UNIM - COYHAIQUE, LAUTARO
441;UNIM - AYSEN, CARRERA;UNIM - AYSEN, CARRERA
335;UNIM - VITACURA, SANTA MARIA;UNIM - VITACURA, SANTA MARIA
331;UNIM - SANTIAGO, PORTUGAL 56;UNIM - SANTIAGO, PORTUGAL 56
581;UNIM - LA FLORIDA, VICUNA MACKENNA 6331;UNIM - LA FLORIDA, VICUNA MACKENNA 6331
962;UNIM - SANTIAGO, MORANDE;UNIM - SANTIAGO, MORANDE
8;UNIM - LA SERENA, BRASIL;UNIM - LA SERENA, BRASIL
464;UNIM - PTA ARENAS, PA CERDA;UNIM - PTA ARENAS, PA CERDA
7;UNIM - VALLENAR, BRASIL;UNIM - VALLENAR, BRASIL
686;UNIM - RANCAGUA, KENNEDY;UNIM - RANCAGUA, KENNEDY
47;UNIM - ANTOFAGASTA, IGNACIO CARRERA PINTO;UNIM - ANTOFAGASTA, IGNACIO CARRERA PINTO
17;UNIM - COQUIMBO, LOS ALAMOS;UNIM - COQUIMBO, LOS ALAMOS
110;UNIM - TOCOPILLA, POLICARPO TORO;UNIM - TOCOPILLA, POLICARPO TORO
978;UNIM - SAN JOAQUIN, SANTA ROSA;UNIM - SAN JOAQUIN, SANTA ROSA
954;UNIM - LA SERENA, REGIMIENTO ARICA;UNIM - LA SERENA, REGIMIENTO ARICA
910;UNIM - MAIPU, CAMINO A MELIPILLA;UNIM - MAIPU, CAMINO A MELIPILLA
360;UNIM - MAIPU, RAMON FREIRE;UNIM - MAIPU, RAMON FREIRE
21;UNIM - OVALLE, TANGUE;UNIM - OVALLE, TANGUE
